   1     local/departments                                                                     
   2     tag/first                                                                             
   3     tag/fields                                                                            
   2     tag/fields                                                                            
   2     tag/first                                                                             
   2     tag/fields                                                                            
   2     tag/first                                                                             
   2     tag/fields                                                                            
   2     tag/first                                                                             
   2     tag/fields                                                                            
   2     tag/first                                                                             
   2     tag/fields                                                                            
   1     local/departments                                                                     
   2     tag/first                 'departments'                                               
   3     tag/fields                'departments'                                               
   2     tag/fields                'departments'                                               
   2     tag/first                 'departments'                                               
   2     tag/fields                'departments'                                               
   2     tag/first                 'departments'                                               
   2     tag/fields                'departments'                                               
   2     tag/first                 'departments'                                               
   2     tag/fields                'departments'                                               
   2     tag/first                 'departments'                                               
   2     tag/fields                'departments'                                               
   1     local/departments                                                                     
   2     tag/first                 -1                                                          
   3     tag/fields                -2                                                          
   2     tag/fields                -1                                                          
   2     tag/first                 -1                                                          
   2     tag/fields                -1                                                          
   2     tag/first                 -1                                                          
   2     tag/fields                -1                                                          
   2     tag/first                 -1                                                          
   2     tag/fields                -1                                                          
   2     tag/first                 -1                                                          
   2     tag/fields                -1                                                          
